date,lions
2004-01,9
2004-02,8
2004-03,10
2004-04,15
2004-05,9
2004-06,8
2004-07,12
2004-08,24
2004-09,32
2004-10,26
2004-11,21
2004-12,18
2005-01,10
2005-02,9
2005-03,11
2005-04,21
2005-05,16
2005-06,31
2005-07,17
2005-08,27
2005-09,26
2005-10,25
2005-11,28
2005-12,20
2006-01,16
2006-02,12
2006-03,12
2006-04,11
2006-05,10
2006-06,7
2006-07,10
2006-08,21
2006-09,26
2006-10,18
2006-11,19
2006-12,16
2007-01,9
2007-02,7
2007-03,10
2007-04,13
2007-05,10
2007-06,8
2007-07,11
2007-08,22
2007-09,30
2007-10,22
2007-11,26
2007-12,18
2008-01,7
2008-02,6
2008-03,9
2008-04,10
2008-05,8
2008-06,6
2008-07,9
2008-08,20
2008-09,26
2008-10,21
2008-11,25
2008-12,28
2009-01,15
2009-02,10
2009-03,17
2009-04,36
2009-05,13
2009-06,20
2009-07,11
2009-08,24
2009-09,36
2009-10,20
2009-11,25
2009-12,14
2010-01,9
2010-02,7
2010-03,10
2010-04,16
2010-05,8
2010-06,7
2010-07,10
2010-08,28
2010-09,40
2010-10,32
2010-11,38
2010-12,27
2011-01,15
2011-02,9
2011-03,6
2011-04,13
2011-05,10
2011-06,7
2011-07,15
2011-08,37
2011-09,55
2011-10,100
2011-11,61
2011-12,50
2012-01,45
2012-02,11
2012-03,12
2012-04,19
2012-05,11
2012-06,9
2012-07,13
2012-08,34
2012-09,56
2012-10,41
2012-11,41
2012-12,37
2013-01,10
2013-02,11
2013-03,15
2013-04,19
2013-05,14
2013-06,42
2013-07,24
2013-08,34
2013-09,58
2013-10,53
2013-11,58
2013-12,68
2014-01,21
2014-02,10
2014-03,14
2014-04,12
2014-05,18
2014-06,9
2014-07,12
2014-08,33
2014-09,66
2014-10,64
2014-11,81
2014-12,79
2015-01,57
2015-02,12
2015-03,15
2015-04,11
2015-05,16
2015-06,9
2015-07,11
2015-08,36
2015-09,67
2015-10,71
2015-11,74
2015-12,61
2016-01,20
2016-02,12
2016-03,13
2016-04,20
2016-05,15
2016-06,9
2016-07,14
2016-08,31
2016-09,62
2016-10,52
