date,packers,select
2004-01,32,0
2004-02,12,0
2004-03,11,0
2004-04,16,0
2004-05,12,0
2004-06,12,0
2004-07,14,0
2004-08,24,0
2004-09,30,0
2004-10,26,0
2004-11,25,0
2004-12,30,0
2005-01,23,0
2005-02,13,0
2005-03,12,0
2005-04,16,0
2005-05,11,0
2005-06,12,0
2005-07,13,0
2005-08,23,0
2005-09,24,0
2005-10,25,0
2005-11,22,0
2005-12,22,0
2006-01,18,0
2006-02,11,0
2006-03,13,0
2006-04,16,0
2006-05,13,0
2006-06,10,0
2006-07,13,0
2006-08,23,0
2006-09,24,0
2006-10,21,0
2006-11,18,0
2006-12,21,0
2007-01,13,0
2007-02,11,0
2007-03,12,0
2007-04,14,0
2007-05,11,0
2007-06,9,0
2007-07,11,0
2007-08,20,0
2007-09,28,0
2007-10,29,0
2007-11,45,0
2007-12,29,0
2008-01,50,0
2008-02,11,0
2008-03,14,0
2008-04,12,0
2008-05,9,0
2008-06,9,0
2008-07,15,0
2008-08,24,0
2008-09,26,0
2008-10,16,0
2008-11,17,0
2008-12,15,0
2009-01,9,0
2009-02,7,0
2009-03,8,0
2009-04,10,0
2009-05,8,0
2009-06,7,0
2009-07,8,0
2009-08,19,0
2009-09,23,0
2009-10,20,0
2009-11,19,0
2009-12,19,0
2010-01,17,0
2010-02,7,0
2010-03,7,0
2010-04,9,0
2010-05,7,0
2010-06,7,0
2010-07,9,0
2010-08,18,0
2010-09,30,0
2010-10,26,0
2010-11,22,0
2010-12,27,0
2011-01,79,0
2011-02,83,1
2011-03,10,0
2011-04,12,0
2011-05,9,0
2011-06,8,0
2011-07,11,0
2011-08,23,0
2011-09,43,0
2011-10,39,0
2011-11,50,0
2011-12,62,0
2012-01,50,0
2012-02,12,0
2012-03,11,0
2012-04,13,0
2012-05,9,0
2012-06,8,0
2012-07,11,0
2012-08,25,0
2012-09,64,0
2012-10,37,0
2012-11,30,0
2012-12,40,0
2013-01,39,0
2013-02,10,0
2013-03,10,0
2013-04,13,0
2013-05,9,0
2013-06,9,0
2013-07,11,0
2013-08,28,0
2013-09,41,0
2013-10,37,0
2013-11,45,0
2013-12,47,0
2014-01,37,0
2014-02,9,0
2014-03,11,0
2014-04,10,0
2014-05,14,0
2014-06,9,0
2014-07,11,0
2014-08,27,0
2014-09,50,0
2014-10,41,0
2014-11,53,0
2014-12,63,0
2015-01,100,1
2015-02,13,0
2015-03,11,0
2015-04,11,0
2015-05,14,0
2015-06,10,0
2015-07,12,0
2015-08,35,0
2015-09,68,0
2015-10,57,0
2015-11,81,0
2015-12,70,0
2016-01,81,1
2016-02,11,0
2016-03,11,0
2016-04,15,0
2016-05,11,0
2016-06,10,0
2016-07,13,0
2016-08,33,0
2016-09,53,0
2016-10,36,0
